Date,Open,High,Low,Close,Volume
17-Nov-22,422,427.55,419.6,423.15,"15,621,809"
16-Nov-22,436.95,438.2,429.6,431.55,"8,206,169"
15-Nov-22,434.9,438.5,434.1,437.15,"10,696,024"
14-Nov-22,424,437.7,423.5,433.7,"17,996,083"
11-Nov-22,420,425.5,414.7,423.5,"19,296,401"
10-Nov-22,420.5,420.55,409.2,412.2,"26,251,660"
09-Nov-22,439.2,441.2,432,433.15,"14,471,443"
07-Nov-22,428.25,437.5,428.25,435,"15,058,076"
04-Nov-22,418.2,426,416.9,425.35,"12,277,023"
03-Nov-22,419.4,423.3,414.5,416.25,"10,987,519"
02-Nov-22,423.05,425.1,420.15,422.15,"12,433,578"
01-Nov-22,414.9,422.4,412.8,421.35,"17,324,893"
31-Oct-22,414.35,416.3,411.6,412.75,"9,928,218"
28-Oct-22,408,411.2,406.1,409.9,"12,488,938"
27-Oct-22,408.55,411.7,404,407.7,"14,614,841"
25-Oct-22,404.35,410.5,403.2,404.55,"17,979,661"
24-Oct-22,406,406,400.15,401.6,"2,871,205"
21-Oct-22,397,402.25,394.7,398.05,"10,279,618"
20-Oct-22,397,399.9,393.1,398.1,"10,747,183"
19-Oct-22,406.2,406.95,397.3,399.05,"8,648,435"
18-Oct-22,401,406.7,400.7,404.25,"14,215,544"
17-Oct-22,394,398.9,392.5,396.1,"9,543,556"
14-Oct-22,407,409.2,395.3,396.25,"12,875,470"
13-Oct-22,396.55,403.5,394.55,399,"12,584,114"
12-Oct-22,394.55,398.2,391.1,396.55,"14,287,344"
11-Oct-22,397,399.5,391.3,393.35,"14,641,301"
10-Oct-22,403.4,403.4,393.05,395.95,"32,914,630"
07-Oct-22,413.4,414,408.7,412.15,"10,670,854"
06-Oct-22,409.6,417.65,409.5,414.1,"12,771,199"
04-Oct-22,406,408.95,402.9,407.9,"12,761,425"
03-Oct-22,405.5,406.55,395.5,397.65,"20,332,430"
30-Sep-22,398,408.25,392.5,404.6,"20,951,277"
29-Sep-22,411,413.25,399.6,402.25,"20,725,995"
28-Sep-22,394.9,406.6,392.85,399.1,"18,114,880"
27-Sep-22,403.9,404,390.35,398.8,"21,932,747"
26-Sep-22,416,417.9,393.15,397.5,"33,230,938"
23-Sep-22,431.9,431.9,420.55,423.1,"13,441,609"
22-Sep-22,425,434.6,422.55,432.2,"13,600,786"
21-Sep-22,433.95,436,425.5,427.65,"10,831,068"
20-Sep-22,430.6,443.35,430.6,434.25,"17,557,661"
19-Sep-22,431.5,431.6,424.05,425.45,"15,236,142"
16-Sep-22,446,446.4,429.1,432.5,"20,992,324"
15-Sep-22,452.4,455.85,446.05,447.25,"10,356,713"
14-Sep-22,447.6,454.7,447,450.2,"10,360,461"
13-Sep-22,454.3,458.95,453.55,456.8,"10,661,280"
12-Sep-22,447.7,453,447,451,"8,962,633"
09-Sep-22,447.5,449.65,440.6,445.9,"14,294,289"
08-Sep-22,452.45,452.55,440,442.2,"19,336,014"
07-Sep-22,453.2,456.5,443.65,445.85,"20,764,508"
06-Sep-22,462.7,463.7,456.6,457.75,"9,805,875"
05-Sep-22,459.75,463.95,457,459,"9,378,108"
02-Sep-22,470.85,471.8,460.15,461.75,"10,806,707"
01-Sep-22,462.5,474.4,462.15,466.9,"13,385,159"
30-Aug-22,458.65,472.4,457.1,471.1,"14,421,066"
29-Aug-22,451,456.9,450.15,453.35,"11,647,725"
26-Aug-22,465,470.45,463.95,465.05,"11,252,560"
25-Aug-22,466,468.8,457.4,459.2,"11,255,809"
24-Aug-22,459,464.9,457.7,463.2,"12,214,113"
23-Aug-22,449,462.1,447.6,460.45,"17,779,238"
22-Aug-22,468.5,468.95,452.55,454.6,"15,050,653"
19-Aug-22,486.75,488.1,468.1,471,"16,636,593"
18-Aug-22,484,486.8,479.25,484.8,"12,070,974"
17-Aug-22,490.9,494.4,484.2,485.4,"15,948,755"
16-Aug-22,479.6,491.4,478.2,489.85,"16,796,376"
12-Aug-22,475.75,481.45,470,477.55,"13,482,890"
11-Aug-22,482.55,485,475.6,476.65,"12,777,503"
10-Aug-22,470,477.2,463.35,475.55,"13,360,759"
08-Aug-22,466,471.9,464.45,468.25,"10,561,754"
05-Aug-22,468.9,472.9,464,465.25,"11,917,799"
04-Aug-22,473.15,473.95,456.45,468.9,"18,540,405"
